X,Y,STATE,NAME,LAT,LON,Start_Time,Full_Time,End_Time,ObjectId
-95.162954,41.149365,IA,Elliott,41.149365,-95.162954,2024/02/18 17:41:10+00,2024/02/18 18:56:20+00,2024/02/18 20:11:10+00,7790
-94.108367,40.840071,IA,Ellston,40.840071,-94.108367,2024/02/18 17:41:50+00,2024/02/18 18:57:30+00,2024/02/18 20:12:40+00,7791
-93.581877,42.310239,IA,Ellsworth,42.310239,-93.581877,2024/02/18 17:45:00+00,2024/02/18 18:59:40+00,2024/02/18 20:14:00+00,7792
-92.438689,43.245705,IA,Elma,43.245705,-92.438689,2024/02/18 17:47:50+00,2024/02/18 19:02:10+00,2024/02/18 20:15:50+00,7793
-91.586323,41.880328,IA,Ely,41.880328,-91.586323,2024/02/18 17:46:40+00,2024/02/18 19:02:10+00,2024/02/18 20:16:40+00,7794
-95.402725,41.01798,IA,Emerson,41.01798,-95.402725,2024/02/18 17:40:40+00,2024/02/18 18:55:50+00,2024/02/18 20:10:50+00,7795
-94.679579,43.114798,IA,Emmetsburg,43.114798,-94.679579,2024/02/18 17:45:10+00,2024/02/18 18:59:00+00,2024/02/18 20:12:30+00,7796
-90.931383,42.446542,IA,Epworth,42.446542,-90.931383,2024/02/18 17:48:20+00,2024/02/18 19:03:30+00,2024/02/18 20:17:40+00,7797
-95.305347,40.832802,IA,Essex,40.832802,-95.305347,2024/02/18 17:40:20+00,2024/02/18 18:55:40+00,2024/02/18 20:11:00+00,7798
-94.834216,43.399735,IA,Estherville,43.399735,-94.834216,2024/02/18 17:45:30+00,2024/02/18 18:59:00+00,2024/02/18 20:12:10+00,7799
-92.269402,42.465698,IA,Evansdale,42.465698,-92.269402,2024/02/18 17:46:50+00,2024/02/18 19:01:40+00,2024/02/18 20:15:50+00,7800
-95.317533,43.16513,IA,Everly,43.16513,-95.317533,2024/02/18 17:44:30+00,2024/02/18 18:58:10+00,2024/02/18 20:11:30+00,7801
-94.881335,41.591425,IA,Exira,41.591425,-94.881335,2024/02/18 17:42:10+00,2024/02/18 18:57:10+00,2024/02/18 20:11:50+00,7802
-92.843177,40.649101,IA,Exline,40.649101,-92.843177,2024/02/18 17:43:00+00,2024/02/18 18:59:00+00,2024/02/18 20:14:30+00,7803
-92.047788,42.640139,IA,Fairbank,42.640139,-92.047788,2024/02/18 17:47:20+00,2024/02/18 19:02:10+00,2024/02/18 20:16:10+00,7804
-91.777812,41.925493,IA,Fairfax,41.925493,-91.777812,2024/02/18 17:46:30+00,2024/02/18 19:01:50+00,2024/02/18 20:16:30+00,7805
-91.966628,41.006376,IA,Fairfield,41.006376,-91.966628,2024/02/18 17:44:40+00,2024/02/18 19:00:40+00,2024/02/18 20:15:50+00,7806
-90.924078,41.439676,IA,Fairport,41.439676,-90.924078,2024/02/18 17:46:40+00,2024/02/18 19:02:40+00,2024/02/18 20:17:30+00,7807
-91.009182,42.443736,IA,Farley,42.443736,-91.009182,2024/02/18 17:48:10+00,2024/02/18 19:03:30+00,2024/02/18 20:17:40+00,7808
-91.366709,42.959343,IA,Farmersburg,42.959343,-91.366709,2024/02/18 17:48:40+00,2024/02/18 19:03:20+00,2024/02/18 20:17:10+00,7809
-87.0878,40.488159,IN,Otterbein,40.488159,-87.0878,2024/02/18 17:50:30+00,2024/02/18 19:07:20+00,2024/02/18 20:22:20+00,7810
-88.187454,41.820977,IL,Warrenville,41.820977,-88.187454,2024/02/18 17:50:50+00,2024/02/18 19:06:50+00,2024/02/18 20:21:20+00,7811
-85.171534,41.638103,IN,Otter Lake,41.638103,-85.171534,2024/02/18 17:54:40+00,2024/02/18 19:11:00+00,2024/02/18 20:25:00+00,7812
-87.248178,40.521461,IN,Oxford,40.521461,-87.248178,2024/02/18 17:50:20+00,2024/02/18 19:07:00+00,2024/02/18 20:22:00+00,7813
-91.428019,40.351045,IL,Warsaw,40.351045,-91.428019,2024/02/18 17:44:20+00,2024/02/18 19:00:50+00,2024/02/18 20:16:20+00,7814
-85.945637,41.174834,IN,Palestine,41.174834,-85.945637,2024/02/18 17:53:00+00,2024/02/18 19:09:30+00,2024/02/18 20:24:00+00,7815
-89.291757,40.920299,IL,Washburn,40.920299,-89.291757,2024/02/18 17:48:10+00,2024/02/18 19:04:30+00,2024/02/18 20:19:30+00,7816
